package_id,year,supplier_name,work_unit,procurement_method,procurement_type,is_partial_snapshot_year,split,baseline_score,baseline_rank,top_feature_1,top_feature_1_contribution,top_feature_2,top_feature_2_contribution,top_feature_3,top_feature_3_contribution
57740127,2024,PT. Ciriajasa Cipta Mandiri,"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,3878.78031246,1,supplier_prior_contract_share_year,13132.8411835,supplier_prior_work_unit_contract_share_year,6241.33393677,contract_to_hps_ratio,6.96642848896
61364127,2025,PT. KANTA KARYA UTAMA,UNIT PENGELOLA PRASARANA DAN SARANA PENDIDIKAN - 1.01.0.00.0.00.01.0039,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2065.89794522,2,supplier_prior_contract_share_year,10323.6663533,hps_to_pagu_ratio,2.07646931044,log_contract_value,1.31691251823
10132051000,2026,PT. Asuransi Umum Bumiputera Muda 1967,BADAN PENGELOLAAN ASET DAERAH - 5.02.0.00.0.00.02.0000,Tender,Jasa Lainnya,true,evaluation,1832.85781141,3,supplier_prior_work_unit_contract_share_year,8745.41740128,supplier_prior_contract_share_year,409.5323196,procurement_type_code,4
10032258000,2025,PT. Asuransi Umum Bumiputera Muda 1967,BADAN PENGELOLAAN ASET DAERAH - 5.02.0.00.0.00.02.0000,Tender,Jasa Lainnya,false,train,1790.27873751,4,supplier_prior_work_unit_contract_share_year,8745.41740128,supplier_prior_contract_share_year,194.885017159,procurement_type_code,4
10120522000,2026,Danureksa Sarana Cipta,KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - KEP. SERIBU - 7.01.0.00.0.00.06.0000,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,true,evaluation,1778.4470835,5,supplier_prior_work_unit_contract_share_year,8745.41740128,supplier_prior_contract_share_year,138.812101824,work_unit_supplier_hhi_prior_package_count_year,3.3724537986
10005226000,2025,CV.EMPAT PETULAI,UNIT PENGELOLA SAMPAH TERPADU - 2.11.0.00.0.00.01.0008,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,1776.7066858,6,supplier_prior_work_unit_contract_share_year,8745.41740128,supplier_prior_contract_share_year,131.091733448,work_unit_supplier_hhi_prior_package_count_year,3.3724537986
10036464000,2025,PT. SEWUN INDO KONSULTAN,KOTA ADMINISTRASI JAKARTA TIMUR - 7.01.0.00.0.00.05.0000,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,1764.66362953,7,supplier_prior_work_unit_contract_share_year,8745.41740128,supplier_prior_contract_share_year,62.1683179387,supplier_prior_package_count_year,11
10015639000,2025,PT. KRIDA KARYA ADVISORY,SUKU DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA ADMINISTRASI JAKARTA PUSAT - 1.04.0.00.0.00.01.0001,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,1761.23304855,8,supplier_prior_work_unit_contract_share_year,8745.41740128,supplier_prior_contract_share_year,53.7464791625,work_unit_supplier_hhi_prior_package_count_year,3.3724537986
59863127,2024,PT. Asuransi Sinar Mas,BADAN PENGELOLAAN ASET DAERAH - 5.02.0.00.0.00.02.0000,Tender,Jasa Lainnya,false,train,1756.20906646,9,supplier_prior_work_unit_contract_share_year,8745.41740128,supplier_prior_contract_share_year,21.7265132984,bid_submission_duration_days,6.52896391303
59552127,2024,PT.  CIRIA ADIJAYA MANDIRI,KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - KEP. SERIBU - 7.01.0.00.0.00.06.0000,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,1751.62347844,10,supplier_prior_work_unit_contract_share_year,8745.41740128,hps_to_pagu_ratio,4.60471123957,supplier_prior_contract_share_year,3.72282588854
