work_unit,package_count,supplier_count,total_contract_value,hhi_supplier_package_count,hhi_supplier_value
UNIT PENGELOLA JAKARTA SMART CITY - 2.16.2.20.0.00.01.0007,110,109,11286072102.0,0.009256,0.009568
DINAS SUMBER DAYA AIR - 1.03.0.00.0.00.02.0000,101,65,3556820942963.0,0.021468,0.135368
DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,98,48,1266195619634.0,0.030612,0.275554
"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",70,70,9966702000.0,0.014286,0.014803
"DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0000",58,49,1540513343324.0,0.024376,0.235325
"DINAS KOMUNIKASI, INFORMATIKA DAN STATISTIK - 2.16.2.20.0.00.01.0000",48,47,13724697000.0,0.021701,0.193387
UNIT PENGELOLA SAMPAH TERPADU - 2.11.0.00.0.00.01.0008,35,22,1343394798039.0,0.067755,0.914615
DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU - 2.18.0.00.0.00.01.0000,34,33,19728581621.0,0.031142,0.239674
DINAS BINA MARGA - 1.03.0.00.0.00.01.0000,32,21,284576716376.0,0.058594,0.835044
DINAS PERHUBUNGAN - 2.15.0.00.0.00.01.0000,30,18,169110975377.0,0.073333,0.410453
PUSAT DATA DAN TEKNOLOGI INFORMASI KESEHATAN DAERAH - 1.02.0.00.0.00.01.0089,30,22,4080175000.0,0.051111,0.050791
BADAN PENDAPATAN DAERAH - 5.02.0.00.0.00.03.0000,29,21,188006113148.0,0.055886,0.183536
UNIT PENGELOLA PRASARANA DAN SARANA PENDIDIKAN - 1.01.0.00.0.00.01.0039,27,21,1938599754260.0,0.061728,0.184024
SUKU DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA ADMINISTRASI JAKARTA TIMUR - 1.04.0.00.0.00.01.0005,22,13,7591684050.0,0.095041,0.094151
SUKU DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA ADMINISTRASI JAKARTA SELATAN - 1.04.0.00.0.00.01.0004,21,12,6611852085.0,0.115646,0.105592
SUKU DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA ADMINISTRASI JAKARTA UTARA - 1.04.0.00.0.00.01.0002,21,14,6566970135.0,0.0839,0.116778
SUKU DINAS SUMBER DAYA AIR KABUPATEN ADMINISTRASI KEPULAUAN SERIBU - 1.03.0.00.0.00.02.0006,21,13,186509343415.0,0.097506,0.552998
DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,18,15,25308893730.0,0.080247,0.201954
DINAS PEMUDA DAN OLAHRAGA - 2.19.0.00.0.00.01.0000,18,15,420527232613.0,0.092593,0.217948
DINAS LINGKUNGAN HIDUP - 2.11.0.00.0.00.01.0000,17,17,34969833895.0,0.058824,0.157948
SUKU DINAS KESEHATAN KOTA ADMINISTRASI JAKARTA BARAT - 1.02.0.00.0.00.01.0003,16,14,83419072306.0,0.078125,0.157528
KOTA ADMINISTRASI JAKARTA BARAT - 7.01.0.00.0.00.03.0000,15,12,21572519072.0,0.102222,0.330257
