variant,seed,n_estimators,contamination,max_samples,top_n,top_n_overlap,top_n_overlap_ratio,rank_correlation
n_estimators=100,42,100,auto,auto,20,19,0.95,0.991452
n_estimators=100,42,100,auto,auto,50,46,0.92,0.991452
n_estimators=200,42,200,auto,auto,20,20,1.0,1.0
n_estimators=200,42,200,auto,auto,50,50,1.0,1.0
n_estimators=300,42,300,auto,auto,20,18,0.9,0.996955
n_estimators=300,42,300,auto,auto,50,48,0.96,0.996955
contamination=0.05,42,200,0.05,auto,20,20,1.0,1.0
contamination=0.05,42,200,0.05,auto,50,50,1.0,1.0
contamination=0.1,42,200,0.1,auto,20,20,1.0,1.0
contamination=0.1,42,200,0.1,auto,50,50,1.0,1.0
max_samples=0.7,42,200,auto,0.7,20,16,0.8,0.986776
max_samples=0.7,42,200,auto,0.7,50,44,0.88,0.986776
