package_id,rank,anomaly_score,split,factor_1,factor_1_value,factor_1_formatted,factor_1_percentile,factor_2,factor_2_value,factor_2_formatted,factor_2_percentile,factor_3,factor_3_value,factor_3_formatted,factor_3_percentile
57740127,1,0.682397,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,21.807819,"Rp2,958,116,701",0.8127
10087308000,2,0.653319,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.093064,"Rp214,819,411,992",0.9859
10032258000,3,0.646017,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,22.526779,"Rp6,070,936,088",0.8715
10087340000,4,0.641391,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,25.98906,"Rp193,599,911,701",0.9828
59676127,5,0.640945,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.336139,"Rp273,930,132,187",0.9898
57655127,6,0.640239,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,21.97891,"Rp3,510,097,501",0.8299
59863127,7,0.636994,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,22.838252,"Rp8,289,470,844",0.8942
10097213000,8,0.635424,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.803633,"Rp437,189,859,985",0.9976
10011478000,9,0.628404,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,23.486296,"Rp15,847,784,000",0.9263
10132051000,10,0.625676,evaluation,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,22.802382,"Rp7,997,398,196",0.8895
10086485000,11,0.622252,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.032492,"Rp202,193,716,726",0.9835
57898127,12,0.622034,train,procurement_type_code,7.0,7.000000,0.9976,procurement_method_code,2.0,2.000000,0.9992,log_hps,27.893385,"Rp1,299,999,105,215",1.0
10065358000,13,0.609127,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,25.465597,"Rp114,701,234,112",0.9765
10086518000,14,0.607694,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.305744,"Rp265,729,423,915",0.989
59967127,15,0.607372,train,procurement_type_code,8.0,8.000000,1.0,procurement_method_code,3.0,3.000000,1.0,log_hps,19.466317,"Rp284,520,741",0.3738
61266127,16,0.600178,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,21.632993,"Rp2,483,644,951",0.7923
10026743000,17,0.599268,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.395816,"Rp290,775,000,008",0.9929
10091302000,18,0.59233,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.647623,"Rp374,037,895,053",0.9961
10008064000,19,0.59105,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,22.670949,"Rp7,012,424,001",0.8793
59654127,20,0.588725,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,24.181973,"Rp31,775,862,683",0.9545
59295127,21,0.584714,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.365803,"Rp282,177,670,690",0.9922
57654127,22,0.584368,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,21.97891,"Rp3,510,097,501",0.8299
10065368000,23,0.584149,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,25.606858,"Rp132,104,400,103",0.9773
60061127,24,0.583388,train,procurement_type_code,7.0,7.000000,0.9976,procurement_method_code,2.0,2.000000,0.9992,log_hps,24.596512,"Rp48,098,275,470",0.9663
10091309000,25,0.580487,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.890145,"Rp476,696,138,146",0.9984
10063513000,26,0.579751,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.447699,"Rp306,259,590,796",0.9945
59335127,27,0.575015,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.397214,"Rp291,182,000,008",0.9937
10086508000,28,0.57439,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.040722,"Rp203,864,670,774",0.9843
10059252000,29,0.574049,train,procurement_type_code,7.0,7.000000,0.9976,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.340291,"Rp275,070,000,007",0.9906
10005226000,30,0.573772,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.251623,"Rp229,548,001",0.3331
10036464000,31,0.571715,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.494303,"Rp292,596,001",0.3856
10027953000,32,0.567137,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.783644,"Rp390,775,501",0.4616
10120522000,33,0.564788,evaluation,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.437012,"Rp276,304,001",0.3691
10099896000,34,0.564144,train,procurement_type_code,8.0,8.000000,1.0,procurement_method_code,2.0,2.000000,0.9992,log_hps,21.636929,"Rp2,493,440,001",0.7947
10027501000,35,0.563942,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.670039,"Rp382,517,000,012",0.9969
10016550000,36,0.563465,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.388983,"Rp263,347,075",0.3582
10094279000,37,0.560855,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,20.978858,"Rp1,291,225,406",0.7312
10027665000,38,0.558127,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.102569,"Rp216,871,000,006",0.9867
10016559000,39,0.556551,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.665753,"Rp347,318,575",0.4326
61304127,40,0.554582,train,procurement_type_code,5.0,5.000000,0.8503,procurement_method_code,2.0,2.000000,0.9992,log_hps,20.524947,"Rp820,108,701",0.6395
10027666000,41,0.55245,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.568652,"Rp345,635,999,994",0.9953
59337127,42,0.549351,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,26.356207,"Rp279,483,000,002",0.9914
59824127,43,0.549238,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,20.114888,"Rp544,233,001",0.5509
10015639000,44,0.548557,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,20.414353,"Rp734,244,766",0.6105
59869127,45,0.547746,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.084085,"Rp194,139,001",0.2915
59586127,46,0.547512,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,25.444268,"Rp112,280,713,941",0.9757
10065336000,47,0.547424,train,procurement_type_code,6.0,6.000000,0.9953,procurement_method_code,2.0,2.000000,0.9992,log_hps,25.824734,"Rp164,262,947,679",0.9804
59552127,48,0.542734,train,procurement_type_code,1.0,1.000000,0.4773,procurement_method_code,1.0,1.000000,0.8049,log_hps,19.618935,"Rp331,432,681",0.4216
